,Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
5060,Complex situation in Türkiye,TUR001,Türkiye,Moderate humanitarian conditions - Level 3,4329250,"IFRC Turkish Red Crescent 28/04/2023, UNHCR 16/03/2023, World Bank 12/06/2024, Estimation using similar ratio of syrian host community to syrian refugees; UNHCR 16/03/2023",Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/06/Regional_Strategic_Overview2023_.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","This is an aggregate to all crises in the country
-----
Syrian refugee crisis:
People in need are Syrian refugees as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community was included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

PiN and severity figures are multi-sectoral and equal L5 + L4 + L3

There is around 3,332,896 Syrian refugges in Turkiye according to 3RP. According to IFRC and TRC's Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye, 2% of the refugees are in Catastrophic Level (L5); 16% of the refugees are in Extreme Level (L4); 39% of the refugees are in Sever Level (L3), 41% of the refugees are in stressed Level (L2), and 2% of the refugees are in Minimal Level (L1).

For the host community, there are around 3,607,620 according to 3RP. The WB national poverty line was used. According to the WB, around 14.4% fell below the poverty line in 2023.

Level 1 = Exposed population – Affected population

Level 2 = Affected population – PiN

Level 3 +4+ 5 = PiN 

-----
Mixed migration crisis:
People in need are mixed migrants as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community is included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

There are no reliable estimate for the severity levels for the mixed migrants in Turkiye. We assume the conditions for the mixed migration in Turkkiye are similar somehow to that of the Syrian refugees. As such, the severity breakdown of the syrian refugees crisis was applied to the mixed migration as an estimate.

There is around 315,702 mixed migrants in Turkiye according to IOM. Using the Syrian reugees severity breakdown using IFRC and TRC's ""Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye"", 2% are placed in Catastrophic Level (L5); 16% are placed in Extreme Level (L4); 39% are placed in Sever Level (L3), 41% are placed in stressed Level (L2), and 2% are placed in Minimal Level (L1).

For the host community, there are no reliable estimate for the host community numbers. We assume the the impact of the mixed migration on the host community would be somehow similar to the impact of the refugee crisis. As such, the host community number (341,725) was extrapolated using the same ratio of refugees to host community in the Syrian refugee crisis. The WB national poverty line was used to determine the portion of host community in need. According to the WB, around 14.4% fell below the poverty line in 2023. All 14.4% have been placed at Level 3.

Level 1 = Exposed population – Affected population
Level 2 = Affected population – PiN
Level 3 +4+ 5 = PiN 
-----
Kurdish conflict crisis:
No data available.
-----
Earthquake crisis:
Low reliability estimation using UNHCR targetted people for humanitarian assistance. This number represent the residents in medium/high severity neighbourhoods in most heavily affected provinces and all people in temporary settlements - using 'Earthquake Solutions and Mobility Analysis Team - ESMAT - Severity Index'. All have been placed on Level three as a conservative estimate.",TUR001Moderate humanitarian conditions - Level 3,2024-10-30,Humanitarian development
5061,Complex situation in Türkiye,TUR001,Türkiye,Severe humanitarian conditions - Level 4,598378,"IFRC Turkish Red Crescent 28/04/2023, UNHCR 16/03/2023, World Bank 12/06/2024, Estimation using similar ratio of syrian host community to syrian refugees; UNHCR 16/03/2023",Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/06/Regional_Strategic_Overview2023_.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","This is an aggregate to all crises in the country
-----
Syrian refugee crisis:
People in need are Syrian refugees as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community was included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

PiN and severity figures are multi-sectoral and equal L5 + L4 + L3

There is around 3,332,896 Syrian refugges in Turkiye according to 3RP. According to IFRC and TRC's Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye, 2% of the refugees are in Catastrophic Level (L5); 16% of the refugees are in Extreme Level (L4); 39% of the refugees are in Sever Level (L3), 41% of the refugees are in stressed Level (L2), and 2% of the refugees are in Minimal Level (L1).

For the host community, there are around 3,607,620 according to 3RP. The WB national poverty line was used. According to the WB, around 14.4% fell below the poverty line in 2023.

Level 1 = Exposed population – Affected population

Level 2 = Affected population – PiN

Level 3 +4+ 5 = PiN 

-----
Mixed migration crisis:
People in need are mixed migrants as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community is included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

There are no reliable estimate for the severity levels for the mixed migrants in Turkiye. We assume the conditions for the mixed migration in Turkkiye are similar somehow to that of the Syrian refugees. As such, the severity breakdown of the syrian refugees crisis was applied to the mixed migration as an estimate.

There is around 315,702 mixed migrants in Turkiye according to IOM. Using the Syrian reugees severity breakdown using IFRC and TRC's ""Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye"", 2% are placed in Catastrophic Level (L5); 16% are placed in Extreme Level (L4); 39% are placed in Sever Level (L3), 41% are placed in stressed Level (L2), and 2% are placed in Minimal Level (L1).

For the host community, there are no reliable estimate for the host community numbers. We assume the the impact of the mixed migration on the host community would be somehow similar to the impact of the refugee crisis. As such, the host community number (341,725) was extrapolated using the same ratio of refugees to host community in the Syrian refugee crisis. The WB national poverty line was used to determine the portion of host community in need. According to the WB, around 14.4% fell below the poverty line in 2023. All 14.4% have been placed at Level 3.

Level 1 = Exposed population – Affected population
Level 2 = Affected population – PiN
Level 3 +4+ 5 = PiN 
-----
Kurdish conflict crisis:
No data available.
-----
Earthquake crisis:
There is no available information yet about the needs' severity driven by the earthquake in Turkey. ",TUR001Severe humanitarian conditions - Level 4,2024-10-30,Humanitarian development
5062,Complex situation in Türkiye,TUR001,Türkiye,Extreme humanitarian conditions - Level 5,74798,"IFRC Turkish Red Crescent 28/04/2023, UNHCR 16/03/2023, World Bank 12/06/2024, Estimation using similar ratio of syrian host community to syrian refugees; UNHCR 16/03/2023",Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/06/Regional_Strategic_Overview2023_.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","This is an aggregate to all crises in the country
-----
Syrian refugee crisis:
People in need are Syrian refugees as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community was included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

PiN and severity figures are multi-sectoral and equal L5 + L4 + L3

There is around 3,332,896 Syrian refugges in Turkiye according to 3RP. According to IFRC and TRC's Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye, 2% of the refugees are in Catastrophic Level (L5); 16% of the refugees are in Extreme Level (L4); 39% of the refugees are in Sever Level (L3), 41% of the refugees are in stressed Level (L2), and 2% of the refugees are in Minimal Level (L1).

For the host community, there are around 3,607,620 according to 3RP. The WB national poverty line was used. According to the WB, around 14.4% fell below the poverty line in 2023.

Level 1 = Exposed population – Affected population

Level 2 = Affected population – PiN

Level 3 +4+ 5 = PiN 

-----
Mixed migration crisis:
People in need are mixed migrants as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community is included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

There are no reliable estimate for the severity levels for the mixed migrants in Turkiye. We assume the conditions for the mixed migration in Turkkiye are similar somehow to that of the Syrian refugees. As such, the severity breakdown of the syrian refugees crisis was applied to the mixed migration as an estimate.

There is around 315,702 mixed migrants in Turkiye according to IOM. Using the Syrian reugees severity breakdown using IFRC and TRC's ""Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye"", 2% are placed in Catastrophic Level (L5); 16% are placed in Extreme Level (L4); 39% are placed in Sever Level (L3), 41% are placed in stressed Level (L2), and 2% are placed in Minimal Level (L1).

For the host community, there are no reliable estimate for the host community numbers. We assume the the impact of the mixed migration on the host community would be somehow similar to the impact of the refugee crisis. As such, the host community number (341,725) was extrapolated using the same ratio of refugees to host community in the Syrian refugee crisis. The WB national poverty line was used to determine the portion of host community in need. According to the WB, around 14.4% fell below the poverty line in 2023. All 14.4% have been placed at Level 3.

Level 1 = Exposed population – Affected population
Level 2 = Affected population – PiN
Level 3 +4+ 5 = PiN 
-----
Kurdish conflict crisis:
No data available.
-----
Earthquake crisis:
There is no available information yet about the needs' severity driven by the earthquake in Turkey. ",TUR001Extreme humanitarian conditions - Level 5,2024-10-30,Humanitarian development
5063,Complex situation in Türkiye,TUR001,Türkiye,Crisis affected groups,5,UNHCR 05/03/2024,Medium ,2,https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf,"Number of different types of affected population groups: 
- IDPs
- Refugees, asylum seekers, and others of concern (such as migrants etc.)
- Returnees
- Host 
- Non-Host ",TUR001Crisis affected groups,2024-10-30,Humanitarian development
5064,Syrian Refugees in Türkiye,TUR002,Türkiye,Total population,85326000,World Bank aacessed 24/10/2024,High,1,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=TR,"The World Bank figures, which includes refugee population in Turkiye in 2023.",TUR002Total population,2024-10-30,Humanitarian development
5065,Syrian Refugees in Türkiye,TUR002,Türkiye,Landmass affected,203090,City Population accessed 06/2023; Turkiye Presidency of Migration Management accesse,Medium ,2,"https://www.citypopulation.de/en/turkey/cities/
https://en.goc.gov.tr/temporary-protection27
","Figure represents the combined total area of provinces with percentage of refugees above the national average ~2.5%: Şanlıurfa, Osmaniye, Nevşehir, Mersin, Mardin, Malatya, Konya, Kilis, Kayseri, Kahramanmaraş, İzmir, İstanbul, Hatay, Gaziantep, Bursa, Burdur, Adıyaman, Adana, Province ",TUR002Landmass affected,2024-10-30,Humanitarian development
5066,Syrian Refugees in Türkiye,TUR002,Türkiye,People exposed,42290032,TurkStat accessed 30/06/2023;  Turkiye Presidency of Migration Management accessed 30/06/2023,Medium ,2,"https://data.tuik.gov.tr/Bulten/Index?p=The-Results-of-Address-Based-Population-Registration-System-2021-45500&dil=2
https://en.goc.gov.tr/temporary-protection27","Figure represents the combined total population of provinces with percentage of refugees above the national average ~2.5%: Şanlıurfa, Osmaniye, Nevşehir, Mersin, Mardin, Malatya, Konya, Kilis, Kayseri, Kahramanmaraş, İzmir, İstanbul, Hatay, Gaziantep, Bursa, Burdur, Adıyaman, Adana, Province ",TUR002People exposed,2024-10-30,Humanitarian development
5067,Syrian Refugees in Türkiye,TUR002,Türkiye,People affected,7200246,"UNHCR 05/03/2024, UNHCR 05/03/2024",Medium ,2,"https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","Figure represents registered Syrian refugees in Turkey as well as the host community. The numbers of refugees and host community are drawn from 3RP. 

The host community is included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.",TUR002People affected,2024-10-30,Humanitarian development
5068,Syrian Refugees in Türkiye,TUR002,Türkiye,People displaced,3332896,UNHCR 05/03/2024,Medium ,2,https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf,Figure represents registered Syrian refugees in Turkey. Data comes from 3RP. 3RP number for displaced is used for consistency as we use it as well for the number of host community that we use in affected and PiN calculations.,TUR002People displaced,2024-10-30,Humanitarian development
5069,Syrian Refugees in Türkiye,TUR002,Türkiye,Fatalities reported,2,ACLED accessed 24/10/2024,Medium ,2,https://acleddata.com/data-export-tool/,The figure represents the number of Syrian refugees killed in Turkey between 1 April and 30 September 2024.,TUR002Fatalities reported,2024-10-30,Humanitarian development
5070,Syrian Refugees in Türkiye,TUR002,Türkiye,Fatalities in all crises,17,ACLED accessed 24/10/2024; IOM accessed 24/10/2024; Crisis Group accessed 24/10/2024,Low,3,https://acleddata.com/data-export-tool/; https://missingmigrants.iom.int/downloads; https://www.crisisgroup.org/content/turkiyes-pkk-conflict-visual-explainer,"This is an aggregate to all crises in the country
-----
Syrian refugee crisis:
The figure represents the number of Syrian refugees killed in Turkey between 1 April and 30 September 2024.
-----
Mixed migration crisis:
The figure represents the number of fatalities in Turkey between 1 April and  30 September 2024 according to IOM's Missing Migrant Database (1 in April, 2 in May, 0 in June, 8 in July, 0 in August and 0 in September). The true number of fatalities may be higher as a result of unreported incidents and missing cases that are not yet considered dead. 
-----
Kurdish conflict crisis:
The number of civilians killed between 1 April and 30 September 2024 due to the Kurdish Conflict.
-----
Earthquake crisis:
Since the EQ was more than 6 months, the assumption is no new deaths (or significantly low) occurred due to the earthquake.",TUR002Fatalities in all crises,2024-10-30,Humanitarian development
5071,Syrian Refugees in Türkiye,TUR002,Türkiye,People in Need,2456650,IFRC Turkish Red Crescent 28/04/2023; UNHCR 05/03/2024; World Bank 12/06/2024; UNHCR 05/03/2024,Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","People in need are Syrian refugees as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community is included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

PiN and severity figures are multi-sectoral and equal L5 + L4 + L3

There is around 3,332,896 Syrian refugees in Turkiye according to 3RP. According to IFRC and TRC's ""Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye"", 2% of the refugees are in Catastrophic Level (L5); 16% of the refugees are in Extreme Level (L4); 39% of the refugees are in Sever Level (L3), 41% of the refugees are in stressed Level (L2), and 2% of the refugees are in Minimal Level (L1).

For the host community, there are around 3,607,620 according to 3RP. The WB national poverty line was used to determine the portion of host community in need. According to the WB, around 14.4% fell below the poverty line in 2023. All 14.4% have been placed at Level 3.

Level 1 = Exposed population – Affected population
Level 2 = Affected population – PiN
Level 3 +4+ 5 = PiN ",TUR002People in Need,2024-10-30,Humanitarian development
5072,Syrian Refugees in Türkiye,TUR002,Türkiye,Minimal humanitarian conditions - Level 1,35089786,IFRC Turkish Red Crescent 28/04/2023; UNHCR 05/03/2024; World Bank 12/06/2024; UNHCR 05/03/2024,Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf",The number of people who are exposed to the crisis but not affected or in needs of urgent humanitarian assistance.,TUR002Minimal humanitarian conditions - Level 1,2024-10-30,Humanitarian development
5073,Syrian Refugees in Türkiye,TUR002,Türkiye,Stressed humanitarian conditions - Level 2,4743596,IFRC Turkish Red Crescent 28/04/2023; UNHCR 05/03/2024; World Bank 12/06/2024; UNHCR 05/03/2024,Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf",The number of people who are affected by the crisis but not in needs of humanitarian assistance.,TUR002Stressed humanitarian conditions - Level 2,2024-10-30,Humanitarian development
5074,Syrian Refugees in Türkiye,TUR002,Türkiye,Moderate humanitarian conditions - Level 3,1856728,IFRC Turkish Red Crescent 28/04/2023; UNHCR 05/03/2024; World Bank 12/06/2024; UNHCR 05/03/2024,Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","People in need are Syrian refugees as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community was included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

PiN and severity figures are multi-sectoral and equal L5 + L4 + L3

There is around 3,332,896 Syrian refugges in Turkiye according to 3RP. According to IFRC and TRC's Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye, 2% of the refugees are in Catastrophic Level (L5); 16% of the refugees are in Extreme Level (L4); 39% of the refugees are in Sever Level (L3), 41% of the refugees are in stressed Level (L2), and 2% of the refugees are in Minimal Level (L1).

For the host community, there are around 3,607,620 according to 3RP. The WB national poverty line was used. According to the WB, around 14.4% fell below the poverty line in 2023.

Level 1 = Exposed population – Affected population

Level 2 = Affected population – PiN

Level 3 +4+ 5 = PiN 
",TUR002Moderate humanitarian conditions - Level 3,2024-10-30,Humanitarian development
5075,Syrian Refugees in Türkiye,TUR002,Türkiye,Severe humanitarian conditions - Level 4,533264,IFRC Turkish Red Crescent 28/04/2023; UNHCR 05/03/2024; World Bank 12/06/2024; UNHCR 05/03/2024,Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","People in need are Syrian refugees as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community was included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

PiN and severity figures are multi-sectoral and equal L5 + L4 + L3

There is around 3,332,896 Syrian refugges in Turkiye according to 3RP. According to IFRC and TRC's Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye, 2% of the refugees are in Catastrophic Level (L5); 16% of the refugees are in Extreme Level (L4); 39% of the refugees are in Sever Level (L3), 41% of the refugees are in stressed Level (L2), and 2% of the refugees are in Minimal Level (L1).

For the host community, there are around 3,607,620 according to 3RP. The WB national poverty line was used. According to the WB, around 14.4% fell below the poverty line in 2023.

Level 1 = Exposed population – Affected population

Level 2 = Affected population – PiN

Level 3 +4+ 5 = PiN 
",TUR002Severe humanitarian conditions - Level 4,2024-10-30,Humanitarian development
5076,Syrian Refugees in Türkiye,TUR002,Türkiye,Extreme humanitarian conditions - Level 5,66658,IFRC Turkish Red Crescent 28/04/2023; UNHCR 05/03/2024; World Bank 12/06/2024; UNHCR 05/03/2024,Medium ,2,"https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf, https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099061224142029970/p1800971fc6f6d08b1867a13dae6c3c00df, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","People in need are Syrian refugees as well as host community in extreme (Level 5), sever (Level 4), and moderate (Level 3) humanitarian conditions. 

The host community was included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

PiN and severity figures are multi-sectoral and equal L5 + L4 + L3

There is around 3,332,896 Syrian refugges in Turkiye according to 3RP. According to IFRC and TRC's Intersectoral vulnerability study round 2 - 2022: Living on bare minimum: an exploration of the vulnerability of refugees in Türkiye, 2% of the refugees are in Catastrophic Level (L5); 16% of the refugees are in Extreme Level (L4); 39% of the refugees are in Sever Level (L3), 41% of the refugees are in stressed Level (L2), and 2% of the refugees are in Minimal Level (L1).

For the host community, there are around 3,607,620 according to 3RP. The WB national poverty line was used. According to the WB, around 14.4% fell below the poverty line in 2023.

Level 1 = Exposed population – Affected population

Level 2 = Affected population – PiN

Level 3 +4+ 5 = PiN 
",TUR002Extreme humanitarian conditions - Level 5,2024-10-30,Humanitarian development
5077,Syrian Refugees in Türkiye,TUR002,Türkiye,Crisis affected groups,3,UNHCR 05/03/2024,Medium ,2,https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf,"Number of different types of affected population groups: 
- Refugees, asylum seekers, and others of concern (such as migrants etc.)
- Host 
- Non-Host ",TUR002Crisis affected groups,2024-10-30,Humanitarian development
5078,Mixed Migration Flows in Türkiye,TUR003,Türkiye,Total population,85326000,World Bank aacessed 24/10/2024,High,1,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=TR,"The World Bank figures, which includes refugee population in Turkiye in 2023.",TUR003Total population,2024-10-30,Humanitarian development
5079,Mixed Migration Flows in Türkiye,TUR003,Türkiye,Landmass affected,140419,IOM 08/06/2022; City Population accessed 24/10/2024,Medium ,2,https://www.citypopulation.de/en/turkey/cities/; https://reliefweb.int/report/turkey/mpm-turkey-mixed-migration-flows-mediterranean-and-beyond-flow-monitoring-compilation-08-june-2022,"Figure represents the combined total area of provinces with with significant land and sea crossings: , Ağrı, Aydın, Balıkesir, Çanakkale, Edirne, Hakkari, Hatay, İzmir, Kilis, Kırklareli, Muğla, Şanlıurfa, Şırnak, Van",TUR003Landmass affected,2024-10-30,Humanitarian development
5080,Mixed Migration Flows in Türkiye,TUR003,Türkiye,People exposed,15735901,IOM 08/06/2022; TurkStat accessed 24/10/2024,Medium ,2,"
http://web.turkstat.gov.tr/UstMenu.do?metod=temelist

https://reliefweb.int/sites/reliefweb.int/files/resources/Q4_quarterly-oct-nov-dec-18.pdf","Estimation based on the provinces that are the most important entry/exit points for migrants and refugees, according to IOM. Provinces included:  Ağrı, Aydın, Balıkesir, Çanakkale, Edirne, Hakkari, Hatay, İzmir, Kilis, Kırklareli, Muğla, Şanlıurfa, Şırnak, Van",TUR003People exposed,2024-10-30,Humanitarian development
5081,Mixed Migration Flows in Türkiye,TUR003,Türkiye,People affected,879173,"IOM 03/07/2024, Tur Gov PMM accessed 1/11/2024 (as of 2023), IOM 03/07/2024, UNHCR 05/03/2024",Medium ,2,"https://reliefweb.int/report/turkiye/dtm-turkey-migrant-presence-monitoring-situation-report-may-2024, https://en.goc.gov.tr/international-protection17, https://reliefweb.int/report/turkiye/dtm-turkey-migrant-presence-monitoring-situation-report-may-2024, https://www.3rpsyriacrisis.org/wp-content/uploads/2023/12/2024RSO_advanced_version.pdf","Figure represents the total number Non-Syrian refugees and asylum seekers in Turkiye as well as host community.

The host community is included because refugee makes a significant percentage of the population, and the crisis had put pressure on health, education, and other social services for a population that already experience high vulnerabilities, resulting in humanitarian needs for the host community.

The non-Syrian refugees and asylum seekers number (320,000) were taken from 3RP 2023 report. There are no reliable estimate for the host community numbers. We assume the the impact of the mixed migration on the host community would be somehow similar to the impact of the refugee crisis. As such, the host community number (318,687) was extrapolated using the same ratio of refugees to host community in the Syrian refugee crisis.",TUR003People affected,2024-10-30,Humanitarian development
5082,Mixed Migration Flows in Türkiye,TUR003,Türkiye,People displaced,406957,"IOM 03/07/2024, Tur Gov PMM accessed 1/11/2024 (as of 2023), IOM 03/07/2024",Medium ,2,"https://reliefweb.int/report/turkiye/dtm-turkey-migrant-presence-monitoring-situation-report-may-2024, https://en.goc.gov.tr/international-protection17, https://reliefweb.int/report/turkiye/dtm-turkey-migrant-presence-monitoring-situation-report-may-2024","Figure represents the total number of non Syrian refugees, asylum seekers, people under International protection, and migrants in irregular status in Turkey",TUR003People displaced,2024-10-30,Humanitarian development
5083,Mixed Migration Flows in Türkiye,TUR003,Türkiye,Fatalities reported,11,IOM accessed 24/10/2024,Low,3,https://missingmigrants.iom.int/downloads,"The figure represents the number of fatalities in Turkey between 1 April and  30 September 2024 according to IOM's Missing Migrant Database (1 in April, 2 in May, 0 in June, 8 in July, 0 in August and 0 in September). The true number of fatalities may be higher as a result of unreported incidents and missing cases that are not yet considered dead. ",TUR003Fatalities reported,2024-10-30,Humanitarian development
5084,Mixed Migration Flows in Türkiye,TUR003,Türkiye,Fatalities in all crises,17,ACLED accessed 24/10/2024; IOM accessed 24/10/2024; Crisis Group accessed 24/10/2024,Low,3,https://acleddata.com/data-export-tool/; https://missingmigrants.iom.int/downloads; https://www.crisisgroup.org/content/turkiyes-pkk-conflict-visual-explainer,"This is an aggregate to all crises in the country
-----
Syrian refugee crisis:
The figure represents the number of Syrian refugees killed in Turkey between 1 April and 30 September 2024.
-----
Mixed migration crisis:
The figure represents the number of fatalities in Turkey between 1 April and  30 September 2024 according to IOM's Missing Migrant Database (1 in April, 2 in May, 0 in June, 8 in July, 0 in August and 0 in September). The true number of fatalities may be higher as a result of unreported incidents and missing cases that are not yet considered dead. 
-----
Kurdish conflict crisis:
The number of civilians killed between 1 April and 30 September 2024 due to the Kurdish Conflict.
-----
Earthquake crisis:
Since the EQ was more than 6 months, the assumption is no new deaths (or significantly low) occurred due to the earthquake.",TUR003Fatalities in all crises,2024-10-30,Humanitarian development
